Rank,Infinitiv,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präsens_wir,Präsens_ihr,Präsens_Sie,Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*
772,ausschließen,schließe aus,schließt aus,schließt aus,,,,schloss aus,ausgeschlossen,schlösse aus,schließ aus,,,schließt aus,,haben,
773,zittern,zittere,zitterst,zittert,,,,zitterte,gezittert,zitterte,zittere,,,zittert,,haben,
774,knacken,knacke,knackst,knackt,,,,knackte,geknackt,knackte,knack,knacke,,knackt,,haben,
775,locken,locke,lockst,lockt,,,,lockte,gelockt,lockte,locke,,,lockt,,haben,
776,besetzen,besetze,besetzt,besetzt,,,,besetzte,besetzt,besetzte,besetze,besetz,,besetzt,,haben,
777,entsprechen,entspreche,entsprichst,entspricht,,,,entsprach,entsprochen,entspräche,entsprich,,,entsprecht,,haben,
778,abfahren,fahre ab,fährst ab,fährt ab,,,,fuhr ab,abgefahren,führe ab,fahre ab,,,fahrt ab,,sein,haben
779,bezeichnen,bezeichne,bezeichnest,bezeichnet,,,,bezeichnete,bezeichnet,bezeichnete,bezeichne,,,bezeichnet,,haben,
780,pflegen,pflege,pflegst,pflegt,,,,pflegte,gepflegt,pflegte,pflege,pfleg,,pflegt,,haben,
781,vergleichen,vergleiche,vergleichst,vergleicht,,,,verglich,verglichen,vergliche,vergleich,vergleiche,,vergleicht,,haben,
782,zusammenarbeiten,arbeite zusammen,arbeitest zusammen,arbeitet zusammen,,,,arbeitete zusammen,zusammengearbeitet,arbeitete zusammen,arbeite zusammen,,,arbeitet zusammen,,haben,
783,verhungern,verhungere,verhungerst,verhungert,,,,verhungerte,verhungert,verhungerte,verhungere,verhunger,,verhungert,,sein,
784,bevorzugen,bevorzuge,bevorzugst,bevorzugt,,,,bevorzugte,bevorzugt,bevorzugte,bevorzuge,,,bevorzugt,,haben,
785,vertragen,vertrage,verträgst,verträgt,,,,vertrug,vertragen,vertrüge,vertrag,vertrage,,vertragt,,haben,
786,ausdenken,denke aus,denkst aus,denkt aus,,,,dachte aus,ausgedacht,dächte aus,denke aus,,,denkt aus,,haben,
787,aushalten,halte aus,hältst aus,hält aus,,,,hielt aus,ausgehalten,hielte aus,halt aus,,,haltet aus,,haben,
788,erholen,erhole,erholst,erholt,,,,erholte,erholt,erholte,erhole,,,erholt,,haben,
789,einbrechen,breche ein,brichst ein,bricht ein,,,,brach ein,eingebrochen,bräche ein,brich ein,,,brecht ein,,sein,
790,korrigieren,korrigiere,korrigierst,korrigiert,,,,korrigierte,korrigiert,korrigierte,korrigiere,korrigier,,korrigiert,,haben,
791,verbessern,verbessere,verbesserst,verbessert,,,,verbesserte,verbessert,verbesserte,verbesser,verbessere,,verbessert,,haben,
792,platzen,platze,platzt,platzt,,,,platzte,geplatzt,platzte,platze,platz,,platzt,,sein,
793,ausrechnen,rechne aus,rechnest aus,rechnet aus,,,,rechnete aus,ausgerechnet,rechnete aus,rechne aus,,,rechnet aus,,haben,
794,enthalten,enthalte,enthältst,enthält,,,,enthielt,enthalten,enthielte,enthalte,,,enthaltet,,haben,
795,zweifeln,zweifle,zweifelst,zweifelt,,,,zweifelte,gezweifelt,zweifelte,zweifle,,,zweifelt,,haben,
796,übersehen,übersehe,übersiehst,übersieht,,,,übersah,übersehen,übersähe,übersieh,,,überseht,,haben,
797,abbrechen,breche ab,brichst ab,bricht ab,,,,brach ab,abgebrochen,bräche ab,brich ab,,,brecht ab,,haben,
798,hinlegen,lege hin,legst hin,legt hin,,,,legte hin,hingelegt,legte hin,lege hin,,,legt hin,,haben,
799,erteilen,erteile,erteilst,erteilt,,,,erteilte,erteilt,erteilte,erteil,erteile,,erteilt,,haben,
800,verdanken,verdanke,verdankst,verdankt,,,,verdankte,verdankt,verdankte,verdank,verdanke,,verdankt,,haben,
801,parken,parke,parkst,parkt,,,,parkte,geparkt,parkte,parke,,,parkt,,haben,
802,bedauern,bedauere,bedauerst,bedauert,,,,bedauerte,bedauert,bedauerte,bedauere,bedaure,,bedauert,,haben,
803,wandern,wandere,wanderst,wandert,,,,wanderte,gewandert,wanderte,wandere,wander,,wandert,,sein,
804,begeben,begebe,begibst,begibt,,,,begab,begeben,begäbe,begib,,,begebt,,haben,
805,befolgen,befolge,befolgst,befolgt,,,,befolgte,befolgt,befolgte,befolg,befolge,,befolgt,,haben,
806,baden,bade,badest,badet,,,,badete,gebadet,badete,bade,,,badet,,haben,
807,klettern,klettere,kletterst,klettert,,,,kletterte,geklettert,kletterte,kletter,,,klettert,,sein,
808,eintreffen,treffe ein,triffst ein,trifft ein,,,,traf ein,eingetroffen,träfe ein,triff ein,,,trefft ein,,sein,
809,überreden,überrede,überredest,überredet,,,,überredete,überredet,überredete,überrede,,,überredet,,haben,
810,zustoßen,stoße zu,stößt zu,stößt zu,,,,stieß zu,zugestoßen,stieße zu,stoß zu,stoße zu,,stoßt zu,,haben,sein
811,umkehren,kehre um,kehrst um,kehrt um,,,,kehrte um,umgekehrt,kehrte um,kehr um,kehre um,,kehrt um,,sein,haben
812,servieren,serviere,servierst,serviert,,,,servierte,serviert,servierte,servier,serviere,,serviert,,haben,
813,abschalten,schalte ab,schaltest ab,schaltet ab,,,,schaltete ab,abgeschaltet,schaltete ab,schalt ab,schalte ab,,schaltet ab,,haben,
814,biegen,biege,biegst,biegt,,,,bog,gebogen,böge,biege,,,biegt,,haben,
815,ermitteln,ermittle,ermittelst,ermittelt,,,,ermittelte,ermittelt,ermittelte,ermittle,,,ermittelt,,haben,
816,engagieren,engagiere,engagierst,engagiert,,,,engagierte,engagiert,engagierte,engagiere,engagier,,engagiert,,haben,
817,manipulieren,manipuliere,manipulierst,manipuliert,,,,manipulierte,manipuliert,manipulierte,manipuliere,manipulier,,manipuliert,,haben,
818,zugreifen,greife zu,greifst zu,greift zu,,,,griff zu,zugegriffen,griffe zu,greife zu,greif zu,,greift zu,,haben,
819,rasen,rase,rast,rast,,,,raste,gerast,raste,ras,rase,,rast,,sein,haben
820,wegwerfen,werfe weg,wirfst weg,wirft weg,,,,warf weg,weggeworfen,würfe weg,wirf weg,,,werft weg,,haben,
821,bemühen,bemühe,bemühst,bemüht,,,,bemühte,bemüht,bemühte,bemüh,,,bemüht,,haben,
822,versehen,versehe,versiehst,versieht,,,,versah,versehen,versähe,versieh,,,verseht,,haben,
823,aufspüren,spüre auf,spürst auf,spürt auf,,,,spürte auf,aufgespürt,spürte auf,spür auf,spüre auf,,spürt auf,,haben,
824,ausrichten,richte aus,richtest aus,richtet aus,,,,richtete aus,ausgerichtet,richtete aus,richte aus,,,richtet aus,,haben,
825,überstehen,überstehe,überstehst,übersteht,,,,überstand,überstanden,überstände,übersteh,überstehe,,übersteht,,haben,
826,pflanzen,pflanze,pflanzt,pflanzt,,,,pflanzte,gepflanzt,pflanzte,pflanze,pflanz,,pflanzt,pflanzet,haben,
827,auflegen,lege auf,legst auf,legt auf,,,,legte auf,aufgelegt,legte auf,leg auf,lege auf,,legt auf,,haben,
828,durchziehen,ziehe durch,ziehst durch,zieht durch,,,,zog durch,durchgezogen,zöge durch,zieh durch,,,zieht durch,,haben,sein
829,infizieren,infiziere,infizierst,infiziert,,,,infizierte,infiziert,infizierte,infiziere,infizier,,infiziert,,haben,
830,abreisen,reise ab,reist ab,reist ab,,,,reiste ab,abgereist,reiste ab,reise ab,,,reist ab,,sein,
831,entschließen,entschließe,entschließt,entschließt,,,,entschloss,entschlossen,entschlösse,entschließ,entschließe,,entschließt,,haben,
832,vertreiben,vertreibe,vertreibst,vertreibt,,,,vertrieb,vertrieben,vertriebe,vertreibe,,,vertreibt,,haben,
833,vorfahren,fahre vor,fährst vor,fährt vor,,,,fuhr vor,vorgefahren,führe vor,fahr vor,fahre vor,,fahrt vor,,haben,sein
834,orten,orte,ortest,ortet,,,,ortete,geortet,ortete,orte,,,ortet,,haben,
835,anrichten,richte an,richtest an,richtet an,,,,richtete an,angerichtet,richtete an,richte an,,,richtet an,,haben,
836,buchen,buche,buchst,bucht,,,,buchte,gebucht,buchte,buch,buche,,bucht,,haben,
837,bequemen,bequeme,bequemst,bequemt,,,,bequemte,bequemt,bequemte,bequem,bequeme,,bequemt,,haben,
838,eindringen,dringe ein,dringst ein,dringt ein,,,,drang ein,eingedrungen,dränge ein,dringe ein,,,dringt ein,,sein,
839,anfühlen,fühle an,fühlst an,fühlt an,,,,fühlte an,angefühlt,fühlte an,fühl an,fühle an,,fühlt an,,haben,
840,aufräumen,räume auf,räumst auf,räumt auf,,,,räumte auf,aufgeräumt,räumte auf,räum auf,räume auf,,räumt auf,,haben,
841,auswählen,wähle aus,wählst aus,wählt aus,,,,wählte aus,ausgewählt,wählte aus,wähl aus,wähle aus,,wählt aus,,haben,
842,freilassen,lasse frei,lässt frei,lässt frei,,,,ließ frei,freigelassen,ließe frei,lass frei,lasse frei,,lasst frei,,haben,
843,veröffentlichen,veröffentliche,veröffentlichst,veröffentlicht,,,,veröffentlichte,veröffentlicht,veröffentlichte,veröffentlich,veröffentliche,,veröffentlicht,,haben,
844,aufstellen,stelle auf,stellst auf,stellt auf,,,,stellte auf,aufgestellt,stellte auf,stell auf,stelle auf,,stellt auf,,haben,
845,zögern,zögere,zögerst,zögert,,,,zögerte,gezögert,zögerte,zögere,,,zögert,,haben,
846,ersparen,erspare,ersparst,erspart,,,,ersparte,erspart,ersparte,erspar,erspare,,erspart,,haben,
847,schlucken,schlucke,schluckst,schluckt,,,,schluckte,geschluckt,schluckte,schlucke,schluck,,schluckt,,haben,
848,durchführen,führe durch,führst durch,führt durch,,,,führte durch,durchgeführt,führte durch,führ durch,führe durch,,führt durch,,haben,
849,übernachten,übernachte,übernachtest,übernachtet,,,,übernachtete,übernachtet,übernachtete,übernachte,,,übernachtet,,haben,
850,ansprechen,spreche an,sprichst an,spricht an,,,,sprach an,angesprochen,spräche an,sprich an,,,sprecht an,,haben,
851,abhängen,hänge ab,hängst ab,hängt ab,,,,hing ab,abgehangen,hinge ab,häng ab,hänge ab,,hängt ab,,haben,
852,vorkommen,komme vor,kommst vor,kommt vor,,,,kam vor,vorgekommen,käme vor,komm vor,,,kommt vor,,sein,
853,mieten,miete,mietest,mietet,,,,mietete,gemietet,mietete,miete,,,mietet,,haben,
854,versammeln,versammle,versammelst,versammelt,,,,versammelte,versammelt,versammelte,versammle,,,versammelt,,haben,
855,einschließen,schließe ein,schließt ein,schließt ein,,,,schloss ein,eingeschlossen,schlösse ein,schließ ein,schließe ein,,schließt ein,,haben,
856,belieben,beliebe,beliebst,beliebt,,,,beliebte,beliebt,beliebte,belieb,beliebe,,beliebet,,haben,
857,anstrengen,strenge an,strengst an,strengt an,,,,strengte an,angestrengt,strengte an,strenge an,,,strengt an,,haben,
858,ablaufen,laufe ab,läufst ab,läuft ab,,,,lief ab,abgelaufen,liefe ab,laufe ab,,,lauft ab,,haben,sein
859,beschädigen,beschädige,beschädigst,beschädigt,,,,beschädigte,beschädigt,beschädigte,beschädige,,,beschädigt,,haben,
860,erschöpfen,erschöpfe,erschöpfst,erschöpft,,,,erschöpfte,erschöpft,erschöpfte,erschöpf,erschöpfe,,erschöpft,,haben,
861,schelten,schelte,schiltst,schilt,,,,schalt,gescholten,schölte,schilt,,,scheltet,,haben,
862,sicherstellen,stelle sicher,stellst sicher,stellt sicher,,,,stellte sicher,sichergestellt,stellte sicher,stell sicher,stelle sicher,,stellt sicher,,haben,
863,verwickeln,verwickele,verwickelst,verwickelt,,,,verwickelte,verwickelt,verwickelte,verwickel,verwickele,,verwickelt,,haben,
864,aufbrechen,breche auf,brichst auf,bricht auf,,,,brach auf,aufgebrochen,bräche auf,brich auf,,,brecht auf,,sein,haben
865,ablegen,lege ab,legst ab,legt ab,,,,legte ab,abgelegt,legte ab,lege ab,,,legt ab,,haben,
866,foltern,foltere,folterst,foltert,,,,folterte,gefoltert,folterte,foltere,,,foltert,,haben,
867,haken,hake,hakst,hakt,,,,hakte,gehakt,hakte,hake,,,hakt,,haben,
868,überfahren,überfahre,überfährst,überfährt,,,,überfuhr,überfahren,überführe,überfahre,,,überfahrt,,haben,
869,übertragen,übertrage,überträgst,überträgt,,,,übertrug,übertragen,übertrüge,übertrag,übertrage,,übertragt,,haben,
870,tropfen,tropfe,tropfst,tropft,,,,tropfte,getropft,tropfte,tropfe,tropf,,tropft,,haben,
871,erregen,errege,erregst,erregt,,,,erregte,erregt,erregte,errege,erreg,,erregt,,haben,
872,blockieren,blockiere,blockierst,blockiert,,,,blockierte,blockiert,blockierte,blockier,blockiere,,blockiert,,haben,
873,zurückrufen,rufe zurück,rufst zurück,ruft zurück,,,,rief zurück,zurückgerufen,riefe zurück,ruf zurück,rufe zurück,,ruft zurück,,haben,
874,münzen,münze,münzt,münzt,,,,münzte,gemünzt,münzte,münz,münze,,münzt,,haben,
875,beseitigen,beseitige,beseitigst,beseitigt,,,,beseitigte,beseitigt,beseitigte,beseitige,,,beseitigt,,haben,
876,verpflichten,verpflichte,verpflichtest,verpflichtet,,,,verpflichtete,verpflichtet,verpflichtete,verpflichte,,,verpflichtet,,haben,
877,wiegen,wiege,wiegst,wiegt,,,,wog,gewogen,wöge,wieg,wiege,,wiegt,,haben,
878,angeln,angle,angelst,angelt,,,,angelte,geangelt,angelte,angle,angele,,angelt,,haben,
879,lenken,lenke,lenkst,lenkt,,,,lenkte,gelenkt,lenkte,lenk,,,lenkt,,haben,
880,verehren,verehre,verehrst,verehrt,,,,verehrte,verehrt,verehrte,verehre,,,verehrt,,haben,
881,hupen,hupe,hupst,hupt,,,,hupte,gehupt,hupte,hupe,,,hupt,,haben,
882,fotografieren,fotografiere,fotografierst,fotografiert,,,,fotografierte,fotografiert,fotografierte,fotografiere,fotografier,,fotografiert,,haben,
883,verzichten,verzichte,verzichtest,verzichtet,,,,verzichtete,verzichtet,verzichtete,verzichte,,,verzichtet,,haben,
884,unterzeichnen,unterzeichne,unterzeichnest,unterzeichnet,,,,unterzeichnete,unterzeichnet,unterzeichnete,unterzeichne,,,unterzeichnet,,haben,
885,flüchten,flüchte,flüchtest,flüchtet,,,,flüchtete,geflüchtet,flüchtete,flüchte,,,flüchtet,,sein,
886,ausrauben,raube aus,raubst aus,raubt aus,,,,raubte aus,ausgeraubt,raubte aus,raub aus,raube aus,,raubt aus,,haben,
887,scheitern,scheitere,scheiterst,scheitert,,,,scheiterte,gescheitert,scheiterte,scheitere,,,scheitert,,sein,
888,abwarten,warte ab,wartest ab,wartet ab,,,,wartete ab,abgewartet,wartete ab,wart ab,warte ab,,wartet ab,,haben,
889,checken,checke,checkst,checkt,,,,checkte,gecheckt,checkte,check,,,checkt,,haben,
890,entgehen,entgehe,entgehst,entgeht,,,,entging,entgangen,entginge,entgehe,,,entgeht,,sein,
891,basieren,basiere,basierst,basiert,,,,basierte,basiert,basierte,basier,basiere,,basiert,,haben,
892,absetzen,setze ab,setzt ab,setzt ab,,,,setzte ab,abgesetzt,setzte ab,setz ab,,,setzt ab,,haben,
893,gehorchen,gehorche,gehorchst,gehorcht,,,,gehorchte,gehorcht,gehorchte,gehorch,gehorche,,gehorcht,,haben,
894,erzeugen,erzeuge,erzeugst,erzeugt,,,,erzeugte,erzeugt,erzeugte,erzeug,erzeuge,,erzeugt,,haben,
895,widmen,widme,widmest,widmet,,,,widmete,gewidmet,widmete,widme,,,widmet,,haben,
896,kriechen,krieche,kriechst,kriecht,,,,kroch,gekrochen,kröche,kriech,krieche,,kriecht,,sein,
897,erobern,erobere,eroberst,erobert,,,,eroberte,erobert,eroberte,erobre,erobere,,erobert,,haben,
898,befördern,befördere,beförderst,befördert,,,,beförderte,befördert,beförderte,befördere,,,befördert,,haben,
899,messen,messe,misst,misst,,,,maß,gemessen,mäße,miss,,,messt,,haben,
900,deuten,deute,deutest,deutet,,,,deutete,gedeutet,deutete,deut,deute,,deutet,,haben,
901,kratzen,kratze,kratzt,kratzt,,,,kratzte,gekratzt,kratzte,kratz,,,kratzt,,haben,
902,erziehen,erziehe,erziehst,erzieht,,,,erzog,erzogen,erzöge,erzieh,erziehe,,erzieht,,haben,
903,ausbrechen,breche aus,brichst aus,bricht aus,,,,brach aus,ausgebrochen,bräche aus,brich aus,,,brecht aus,,haben,sein
904,hellen,helle,hellst,hellt,,,,hellte,gehellt,hellte,hell,helle,,hellt,,haben,
905,produzieren,produziere,produzierst,produziert,,,,produzierte,produziert,produzierte,produzier,produziere,,produziert,,haben,
906,lehnen,lehne,lehnst,lehnt,,,,lehnte,gelehnt,lehnte,lehn,lehne,,lehnt,,haben,
907,ächzen,ächze,ächzt,ächzt,,,,ächzte,geächzt,ächzte,ächze,,,ächzt,,haben,
908,rasieren,rasiere,rasierst,rasiert,,,,rasierte,rasiert,rasierte,rasier,rasiere,,rasiert,,haben,
909,kleben,klebe,klebst,klebt,,,,klebte,geklebt,klebte,kleb,klebe,,klebt,,haben,
910,spucken,spucke,spuckst,spuckt,,,,spuckte,gespuckt,spuckte,spucke,spuck,,spuckt,,haben,
911,quietschen,quietsche,quietschst,quietscht,,,,quietschte,gequietscht,quietschte,quietsch,,,quietscht,,haben,
912,gestatten,gestatte,gestattest,gestattet,,,,gestattete,gestattet,gestattete,gestatte,,,gestattet,,haben,
913,auflösen,löse auf,löst auf,löst auf,,,,löste auf,aufgelöst,löste auf,löse auf,,,löst auf,,haben,
914,verweigern,verweigere,verweigerst,verweigert,,,,verweigerte,verweigert,verweigerte,verweigere,verweiger,,verweigert,,haben,
915,erleichtern,erleichtere,erleichterst,erleichtert,,,,erleichterte,erleichtert,erleichterte,erleichtere,,,erleichtert,,haben,
916,siegen,siege,siegst,siegt,,,,siegte,gesiegt,siegte,siege,,,siegt,,haben,
917,durchfahren,durchfahre,durchfährst,durchfährt,,,,durchfuhr,durchfahren,durchführe,durchfahr,,,durchfahrt,,haben,
918,durchdrehen,drehe durch,drehst durch,dreht durch,,,,drehte durch,durchgedreht,drehte durch,dreh durch,drehe durch,,dreht durch,,sein,haben
919,investieren,investiere,investierst,investiert,,,,investierte,investiert,investierte,investiere,investier,,investiert,,haben,
920,zerreißen,zerreiße,zerreißt,zerreißt,,,,zerriss,zerrissen,zerrisse,zerreiß,zerreiße,,zerreißt,,haben,
921,antreten,trete an,trittst an,tritt an,,,,trat an,angetreten,träte an,tritt an,,,tretet an,,haben,sein
922,zünden,zünde,zündest,zündet,,,,zündete,gezündet,zündete,zünd,zünde,,zündet,,haben,
923,umgeben,gebe um,gibst um,gibt um,,,,gab um,umgegeben,gäbe um,gib um,,,gebt um,,haben,
924,hexen,hexe,hext,hext,,,,hexte,gehext,hexte,hex,hexe,,hext,,haben,
925,reinigen,reinige,reinigst,reinigt,,,,reinigte,gereinigt,reinigte,reinig,reinige,,reinigt,,haben,
926,teilnehmen,nehme teil,nimmst teil,nimmt teil,,,,nahm teil,teilgenommen,nähme teil,nimm teil,,,nehmt teil,,haben,
927,verklagen,verklage,verklagst,verklagt,,,,verklagte,verklagt,verklagte,verklag,verklage,,verklagt,,haben,
928,erleiden,erleide,erleidest,erleidet,,,,erlitt,erlitten,erlitte,erleide,,,erleidet,,haben,
929,kichern,kichere,kicherst,kichert,,,,kicherte,gekichert,kicherte,kichere,,,kichert,,haben,
930,herziehen,ziehe her,ziehst her,zieht her,,,,zog her,hergezogen,zöge her,ziehe her,,,zieht her,ziehet her,sein,haben
931,narren,narre,narrst,narrt,,,,narrte,genarrt,narrte,narr,narre,,narrt,,haben,
932,aufhängen,hänge auf,hängst auf,hängt auf,,,,hängte auf,aufgehängt,hängte auf,häng auf,hänge auf,,hängt auf,,haben,
933,schleppen,schleppe,schleppst,schleppt,,,,schleppte,geschleppt,schleppte,schleppe,schlepp,,schleppt,,haben,
934,darstellen,stelle dar,stellst dar,stellt dar,,,,stellte dar,dargestellt,stellte dar,stell dar,stelle dar,,stellt dar,,haben,
935,regieren,regiere,regierst,regiert,,,,regierte,regiert,regierte,regiere,regier,,regiert,,haben,
936,hindern,hindere,hinderst,hindert,,,,hinderte,gehindert,hinderte,hindere,hinder,,hindert,,haben,
937,keuchen,keuche,keuchst,keucht,,,,keuchte,gekeucht,keuchte,keuche,,,keucht,,haben,
938,ausliefern,liefere aus,lieferst aus,liefert aus,,,,lieferte aus,ausgeliefert,lieferte aus,liefere aus,liefer aus,,liefert aus,,haben,
939,zuschlagen,schlage zu,schlägst zu,schlägt zu,,,,schlug zu,zugeschlagen,schlüge zu,schlage zu,schlag zu,,schlagt zu,,haben,sein
940,verheimlichen,verheimliche,verheimlichst,verheimlicht,,,,verheimlichte,verheimlicht,verheimlichte,verheimlich,verheimliche,,verheimlicht,,haben,
941,verhören,verhöre,verhörst,verhört,,,,verhörte,verhört,verhörte,verhöre,,,verhört,,haben,
942,segeln,segle,segelst,segelt,,,,segelte,gesegelt,segelte,segle,segele,,segelt,,haben,
943,ausschalten,schalte aus,schaltest aus,schaltet aus,,,,schaltete aus,ausgeschaltet,schaltete aus,schalt aus,schalte aus,,schaltet aus,,haben,
944,billigen,billige,billigst,billigt,,,,billigte,gebilligt,billigte,billige,,,billigt,,haben,
945,verwechseln,verwechsle,verwechselst,verwechselt,,,,verwechselte,verwechselt,verwechselte,verwechsle,,,verwechselt,,haben,
946,einrichten,richte ein,richtest ein,richtet ein,,,,richtete ein,eingerichtet,richtete ein,richte ein,,,richtet ein,,haben,
947,prügeln,prügle,prügelst,prügelt,,,,prügelte,geprügelt,prügelte,prügle,prügele,,prügelt,,haben,
948,beziehen,beziehe,beziehst,bezieht,,,,bezog,bezogen,bezöge,beziehe,,,bezieht,,haben,
949,leuchten,leuchte,leuchtest,leuchtet,,,,leuchtete,geleuchtet,leuchtete,leuchte,,,leuchtet,,haben,
950,besagen,-,-,besagt,,,,besagte,besagt,besagte,-,,,-,,haben,
951,erwachen,erwache,erwachst,erwacht,,,,erwachte,erwacht,erwachte,erwache,,,erwachet,,sein,
952,verschonen,verschone,verschonst,verschont,,,,verschonte,verschont,verschonte,verschon,verschone,,verschont,,haben,
953,aufbringen,bringe auf,bringst auf,bringt auf,,,,brachte auf,aufgebracht,brächte auf,bringe auf,,,bringt auf,,haben,
954,arten,arte,artest,artet,,,,artete,geartet,artete,art,arte,,artet,,haben,sein
955,aufziehen,ziehe auf,ziehst auf,zieht auf,,,,zog auf,aufgezogen,zöge auf,zieh auf,,,zieht auf,,haben,sein
956,vergeuden,vergeude,vergeudest,vergeudet,,,,vergeudete,vergeudet,vergeudete,vergeude,,,vergeudet,,haben,
957,verleihen,verleihe,verleihst,verleiht,,,,verlieh,verliehen,verliehe,verleih,verleihe,,verleiht,,haben,
958,anheuern,heuere an,heuerst an,heuert an,,,,heuerte an,angeheuert,heuerte an,heuere an,,,heuert an,,haben,
959,backen,backe,bäckst,bäckt,,,,buk,gebacken,büke,backe,back,,backt,,haben,
960,flammen,flamme,flammst,flammt,,,,flammte,geflammt,flammte,flamm,flamme,,flammt,,haben,
961,erden,erde,erdest,erdet,,,,erdete,geerdet,erdete,erde,,,erdet,,haben,
962,knurren,knurre,knurrst,knurrt,,,,knurrte,geknurrt,knurrte,knurre,knurr,,knurrt,,haben,
963,schweben,schwebe,schwebst,schwebt,,,,schwebte,geschwebt,schwebte,schweb,schwebe,,schwebt,,sein,haben
964,ausnutzen,nutze aus,nutzt aus,nutzt aus,,,,nutzte aus,ausgenutzt,nutzte aus,nutz aus,nutze aus,,nutzt aus,,haben,
965,einmischen,mische ein,mischst ein,mischt ein,,,,mischte ein,eingemischt,mischte ein,misch ein,mische ein,,mischt ein,,haben,
966,beichten,beichte,beichtest,beichtet,,,,beichtete,gebeichtet,beichtete,beichte,,,beichtet,,haben,
967,verbünden,verbünde,verbündest,verbündet,,,,verbündete,verbündet,verbündete,verbünd,verbünde,,verbündet,,haben,
968,ausfallen,falle aus,fällst aus,fällt aus,,,,fiel aus,ausgefallen,fiele aus,falle aus,,,fallt aus,,sein,
969,einschalten,schalte ein,schaltest ein,schaltet ein,,,,schaltete ein,eingeschaltet,schaltete ein,schalte ein,,,schaltet ein,,haben,
970,anmachen,mache an,machst an,macht an,,,,machte an,angemacht,machte an,mach an,mache an,,macht an,,haben,
971,zurückhalten,halte zurück,hältst zurück,hält zurück,,,,hielt zurück,zurückgehalten,hielte zurück,halte zurück,,,haltet zurück,,haben,
972,betteln,bettle,bettelst,bettelt,,,,bettelte,gebettelt,bettelte,bettle,bettele,,bettelt,,haben,
973,rauben,raube,raubst,raubt,,,,raubte,geraubt,raubte,raube,,,raubt,,haben,
974,ernähren,ernähre,ernährst,ernährt,,,,ernährte,ernährt,ernährte,ernähr,ernähre,,ernährt,,haben,
975,einschlagen,schlage ein,schlägst ein,schlägt ein,,,,schlug ein,eingeschlagen,schlüge ein,schlag ein,,,schlagt ein,,haben,
976,bumsen,bumse,bumst,bumst,,,,bumste,gebumst,bumste,bums,,,bumst,,haben,
977,reservieren,reserviere,reservierst,reserviert,,,,reservierte,reserviert,reservierte,reservier,reserviere,,reserviert,,haben,
978,vorlesen,lese vor,liest vor,liest vor,,,,las vor,vorgelesen,läse vor,lies vor,,,lest vor,,haben,
979,krachen,krache,krachst,kracht,,,,krachte,gekracht,krachte,krache,,,kracht,,haben,
980,besaufen,besaufe,besäufst,besäuft,,,,besoff,besoffen,besöffe,besauf,besaufe,,besauft,,haben,
981,wegfahren,fahre weg,fährst weg,fährt weg,,,,fuhr weg,weggefahren,führe weg,fahr weg,,,fahrt weg,,sein,haben
982,beauftragen,beauftrage,beauftragst,beauftragt,,,,beauftragte,beauftragt,beauftragte,beauftrag,beauftrage,,beauftragt,,haben,
983,bedecken,bedecke,bedeckst,bedeckt,,,,bedeckte,bedeckt,bedeckte,bedecke,,,bedeckt,,haben,
984,untergehen,gehe unter,gehst unter,geht unter,,,,ging unter,untergegangen,ginge unter,geh unter,gehe unter,,geht unter,,sein,
985,wärmen,wärme,wärmst,wärmt,,,,wärmte,gewärmt,wärmte,wärm,wärme,,wärmt,,haben,
986,erfordern,erfordere,erforderst,erfordert,,,,erforderte,erfordert,erforderte,erforder,erfordere,,erfordert,,haben,
987,fischen,fische,fischst,fischt,,,,fischte,gefischt,fischte,fische,,,fischt,,haben,
988,beachten,beachte,beachtest,beachtet,,,,beachtete,beachtet,beachtete,beachte,,,beachtet,,haben,
989,haaren,haare,haarst,haart,,,,haarte,gehaart,haarte,haare,haar,,haart,,haben,
990,überwinden,überwinde,überwindest,überwindet,,,,überwand,überwunden,überwände,überwinde,,,überwindet,,haben,
991,entwerfen,entwerfe,entwirfst,entwirft,,,,entwarf,entworfen,entwürfe,entwirf,,,entwerft,,haben,
992,morden,morde,mordest,mordet,,,,mordete,gemordet,mordete,morde,,,mordet,,haben,
993,vorhaben,habe vor,hast vor,hat vor,,,,hatte vor,vorgehabt,hätte vor,hab vor,habe vor,,habt vor,,haben,
994,mitspielen,spiele mit,spielst mit,spielt mit,,,,spielte mit,mitgespielt,spielte mit,spiel mit,spiele mit,,spielt mit,,haben,
995,pissen,pisse,pisst,pisst,,,,pisste,gepisst,pisste,pisse,piss,,pisst,,haben,
996,kürzen,kürze,kürzt,kürzt,,,,kürzte,gekürzt,kürzte,kürze,kürz,,kürzt,,haben,
997,aufklären,kläre auf,klärst auf,klärt auf,,,,klärte auf,aufgeklärt,klärte auf,klär auf,kläre auf,,klärt auf,,haben,
998,anbringen,bringe an,bringst an,bringt an,,,,brachte an,angebracht,brächte an,bring an,,,bringt an,,haben,
999,bremsen,bremse,bremst,bremst,,,,bremste,gebremst,bremste,brems,bremse,,bremst,,haben,
1000,eingreifen,greife ein,greifst ein,greift ein,,,,griff ein,eingegriffen,griffe ein,greife ein,,,greift ein,,haben,
