Rank,Infinitiv,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präsens_wir,Präsens_ihr,Präsens_Sie,Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*
2410,belagern,belagere,belagerst,belagert,,,,belagerte,belagert,belagerte,belager,belagere,,belagert,,haben,
2411,expandieren,expandiere,expandierst,expandiert,,,,expandierte,expandiert,expandierte,expandier,expandiere,,expandiert,,haben,sein
2412,regenerieren,regeneriere,regenerierst,regeneriert,,,,regenerierte,regeneriert,regenerierte,regeneriere,regenerier,,regeneriert,,haben,
2413,rocken,rocke,rockst,rockt,,,,rockte,gerockt,rockte,rocke,,,rockt,,haben,
2414,verfüttern,verfüttere,verfütterst,verfüttert,,,,verfütterte,verfüttert,verfütterte,verfütter,verfüttere,,verfüttert,,haben,
2415,recherchieren,recherchiere,recherchierst,recherchiert,,,,recherchierte,recherchiert,recherchierte,recherchiere,recherchier,,recherchiert,,haben,
2416,begutachten,begutachte,begutachtest,begutachtet,,,,begutachtete,begutachtet,begutachtete,begutachte,begutacht,,begutachtet,,haben,
2417,vernaschen,vernasche,vernaschst,vernascht,,,,vernaschte,vernascht,vernaschte,vernasche,vernasch,,vernascht,,haben,
2418,hinken,hinke,hinkst,hinkt,,,,hinkte,gehinkt,hinkte,hink,hinke,,hinkt,,haben,
2419,stranden,strande,strandest,strandet,,,,strandete,gestrandet,strandete,strande,,,strandet,,sein,
2420,bemalen,bemale,bemalst,bemalt,,,,bemalte,bemalt,bemalte,bemal,bemale,,bemalt,,haben,
2421,verbiegen,verbiege,verbiegst,verbiegt,,,,verbog,verbogen,verböge,verbieg,verbiege,,verbiegt,,haben,
2422,vereinfachen,vereinfache,vereinfachst,vereinfacht,,,,vereinfachte,vereinfacht,vereinfachte,vereinfach,vereinfache,,vereinfacht,,haben,
2423,knüpfen,knüpfe,knüpfst,knüpft,,,,knüpfte,geknüpft,knüpfte,knüpfe,,,knüpft,,haben,
2424,klimpern,klimpere,klimperst,klimpert,,,,klimperte,geklimpert,klimperte,klimpere,,,klimpert,,haben,
2425,futtern,futtere,futterst,futtert,,,,futterte,gefuttert,futterte,futtere,,,futtert,,haben,
2426,mithelfen,helfe mit,hilfst mit,hilft mit,,,,half mit,mitgeholfen,hülfe mit,hilf mit,,,helft mit,,haben,
2427,bereichern,bereichere,bereicherst,bereichert,,,,bereicherte,bereichert,bereicherte,bereichere,,,bereichert,,haben,
2428,delegieren,delegiere,delegierst,delegiert,,,,delegierte,delegiert,delegierte,delegiere,delegier,,delegiert,,haben,
2429,verhöhnen,verhöhne,verhöhnst,verhöhnt,,,,verhöhnte,verhöhnt,verhöhnte,verhöhne,,,verhöhnt,,haben,
2430,aufdrängen,dränge auf,drängst auf,drängt auf,,,,drängte auf,aufgedrängt,drängte auf,dränge auf,,,drängt auf,,haben,
2431,bowlen,bowle,bowlst,bowlt,,,,bowlte,gebowlt,bowlte,bowl,,,bowlt,,haben,
2432,prallen,pralle,prallst,prallt,,,,prallte,geprallt,prallte,prall,,,prallt,,sein,haben
2433,bewerfen,bewerfe,bewirfst,bewirft,,,,bewarf,beworfen,bewürfe,bewirf,,,bewerft,,haben,
2434,kennzeichnen,kennzeichne,kennzeichnest,kennzeichnet,,,,kennzeichnete,gekennzeichnet,kennzeichnete,kennzeichne,,,kennzeichnet,,haben,
2435,kränken,kränke,kränkst,kränkt,,,,kränkte,gekränkt,kränkte,kränk,kränke,,kränkt,,haben,
2436,festmachen,mache fest,machst fest,macht fest,,,,machte fest,festgemacht,machte fest,mach fest,mache fest,,macht fest,,haben,
2437,heuern,heuere,heuerst,heuert,,,,heuerte,geheuert,heuerte,heuer,heuere,,heuert,,haben,
